t:1.37, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.826, e:24.133
t:1.38, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.855, e:24.133
t:1.39, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.884, e:24.133
t:1.40, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.913, e:24.133
t:1.41, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.942, e:24.133
t:1.42, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.971, e:24.133
t:1.43, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.000, e:24.133
t:1.44, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.030, e:24.133
t:1.45, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.059, e:24.133
t:1.46, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.088, e:24.133
t:1.47, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.117, e:24.133
t:1.48, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.146, e:24.133
t:1.49, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.175, e:24.133
t:1.50, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.204, e:24.133
t:1.51, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.233, e:24.133
t:1.52, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:24.133
t:1.53, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.54, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.55, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.56, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.57, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.58, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.59, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.60, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.61, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.62, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.63, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.64, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.65, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.66, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.67, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.68, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.69, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.70, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.71, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.72, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.73, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.74, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.75, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.76, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.77, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.78, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.79, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.80, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.81, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.82, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.83, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
