t:1.13, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.858, theta2:1.207, e:27.895
t:1.14, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.853, theta2:1.246, e:27.895
t:1.15, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.849, theta2:1.284, e:27.896
t:1.16, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.844, theta2:1.323, e:27.896
t:1.17, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.839, theta2:1.362, e:27.896
t:1.18, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.835, theta2:1.400, e:27.896
t:1.19, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.830, theta2:1.439, e:27.896
t:1.20, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.825, theta2:1.477, e:27.896
t:1.21, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.820, theta2:1.516, e:27.896
t:1.22, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.816, theta2:1.554, e:27.896
t:1.23, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.811, theta2:1.593, e:27.896
t:1.24, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.806, theta2:1.631, e:27.896
t:1.25, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.802, theta2:1.669, e:27.896
t:1.26, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.797, theta2:1.708, e:27.896
t:1.27, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.792, theta2:1.746, e:27.896
t:1.28, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.788, theta2:1.785, e:27.896
t:1.29, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.783, theta2:1.823, e:27.896
t:1.30, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.778, theta2:1.862, e:27.896
t:1.31, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.774, theta2:1.900, e:27.896
t:1.32, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.769, theta2:1.938, e:27.896
t:1.33, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.764, theta2:1.977, e:27.896
t:1.34, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.760, theta2:2.015, e:27.896
t:1.35, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.755, theta2:2.053, e:27.896
t:1.36, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.750, theta2:2.092, e:27.896
t:1.37, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.746, theta2:2.130, e:27.896
t:1.38, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.741, theta2:2.168, e:27.896
t:1.39, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.736, theta2:2.207, e:27.896
t:1.40, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.732, theta2:2.245, e:27.896
t:1.41, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.727, theta2:2.283, e:27.896
t:1.42, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.722, theta2:2.322, e:27.896
t:1.43, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.718, theta2:2.360, e:27.896
t:1.44, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.713, theta2:2.398, e:27.896
t:1.45, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.708, theta2:2.436, e:27.896
t:1.46, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.704, theta2:2.474, e:27.896
t:1.47, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.699, theta2:2.513, e:27.896
t:1.48, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.694, theta2:2.551, e:27.896
t:1.49, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.690, theta2:2.589, e:27.896
t:1.50, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.685, theta2:2.627, e:27.896
t:1.51, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:27.896
t:1.52, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.53, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.54, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.55, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.56, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.57, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.58, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.59, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.60, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.61, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.62, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.63, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.64, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
