t:6.39, r:-25.00, omega:-26.87, omega_m:-24.99, u:-364.96, theta1:17.967, theta2:3.134, e:-1.884
t:6.40, r:-25.00, omega:-28.14, omega_m:-24.99, u:-360.77, theta1:17.963, theta2:3.138, e:-3.145
t:6.41, r:-25.00, omega:-28.14, omega_m:-24.99, u:-360.55, theta1:17.959, theta2:3.143, e:-3.144
t:6.42, r:-25.00, omega:-24.53, omega_m:-24.99, u:-371.93, theta1:17.960, theta2:3.142, e:0.469
t:6.43, r:-25.00, omega:-24.53, omega_m:-25.00, u:-371.96, theta1:17.960, theta2:3.142, e:0.470
t:6.44, r:-25.00, omega:-26.56, omega_m:-25.00, u:-365.46, theta1:17.958, theta2:3.144, e:-1.564
t:6.45, r:-25.00, omega:-26.56, omega_m:-25.00, u:-365.36, theta1:17.956, theta2:3.146, e:-1.563
t:6.46, r:-25.00, omega:-27.84, omega_m:-25.00, u:-361.13, theta1:17.953, theta2:3.150, e:-2.845
t:6.47, r:-25.00, omega:-27.84, omega_m:-25.00, u:-360.93, theta1:17.949, theta2:3.154, e:-2.844
t:6.48, r:-25.00, omega:-27.68, omega_m:-25.00, u:-361.24, theta1:17.946, theta2:3.157, e:-2.686
t:6.49, r:-25.00, omega:-27.68, omega_m:-25.00, u:-361.05, theta1:17.943, theta2:3.161, e:-2.686
t:6.50, r:-25.00, omega:-26.13, omega_m:-25.00, u:-365.89, theta1:17.941, theta2:3.163, e:-1.130
t:6.51, r:-25.00, omega:-26.13, omega_m:-25.00, u:-365.82, theta1:17.940, theta2:3.164, e:-1.130
t:6.52, r:-25.00, omega:-26.11, omega_m:-25.00, u:-365.82, theta1:17.938, theta2:3.166, e:-1.108
t:6.53, r:-25.00, omega:-26.11, omega_m:-25.00, u:-365.74, theta1:17.937, theta2:3.167, e:-1.107
t:6.54, r:-25.00, omega:-28.03, omega_m:-25.00, u:-359.44, theta1:17.933, theta2:3.171, e:-3.030
