t:1.50, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:11.580
t:1.51, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.52, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.53, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.54, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.55, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.56, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.57, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.58, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.59, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.60, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.61, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.62, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.63, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.64, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.65, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.66, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.67, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.68, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.69, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.70, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.71, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.72, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.73, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.74, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.75, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.76, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.77, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.78, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.79, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.80, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.81, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.82, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.83, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.84, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.85, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.86, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.87, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.88, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.89, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.90, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.91, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.92, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.93, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.94, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.95, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.96, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.97, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.98, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:1.99, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:2.00, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:17.390, theta2:0.381, e:-0.000
t:2.01, r:-10.00, omega:0.00, omega_m:-6.32, u:-173.92, theta1:17.392, theta2:0.381, e:6.321
t:2.02, r:-10.00, omega:0.00, omega_m:-8.65, u:-173.94, theta1:17.394, theta2:0.381, e:8.647
t:2.03, r:-10.00, omega:-0.51, omega_m:-9.50, u:-173.78, theta1:17.397, theta2:0.380, e:8.989
t:2.04, r:-10.00, omega:-0.51, omega_m:-9.82, u:-173.81, theta1:17.400, theta2:0.380, e:9.304
t:2.05, r:-10.00, omega:-0.51, omega_m:-9.93, u:-173.84, theta1:17.403, theta2:0.380, e:9.420
t:2.06, r:-10.00, omega:-0.51, omega_m:-9.98, u:-173.87, theta1:17.407, theta2:0.380, e:9.462
t:2.07, r:-10.00, omega:-0.51, omega_m:-9.99, u:-173.90, theta1:17.410, theta2:0.379, e:9.478
t:2.08, r:-10.00, omega:-0.51, omega_m:-10.00, u:-173.93, theta1:17.413, theta2:0.379, e:9.484
t:2.09, r:-10.00, omega:-8.75, omega_m:-10.00, u:-170.82, theta1:17.413, theta2:0.378, e:1.245
t:2.10, r:-10.00, omega:-8.75, omega_m:-10.00, u:-170.83, theta1:17.413, theta2:0.378, e:1.246
t:2.11, r:-10.00, omega:-8.75, omega_m:-10.00, u:-170.84, theta1:17.414, theta2:0.377, e:1.246
t:2.12, r:-10.00, omega:-8.75, omega_m:-10.00, u:-170.84, theta1:17.414, theta2:0.377, e:1.246
t:2.13, r:-10.00, omega:-11.47, omega_m:-10.00, u:-169.80, theta1:17.413, theta2:0.378, e:-1.469
t:2.14, r:-10.00, omega:-11.47, omega_m:-10.00, u:-169.78, theta1:17.412, theta2:0.379, e:-1.469
t:2.15, r:-10.00, omega:-11.47, omega_m:-10.00, u:-169.76, theta1:17.411, theta2:0.379, e:-1.469
t:2.16, r:-10.00, omega:-11.47, omega_m:-10.00, u:-169.74, theta1:17.410, theta2:0.380, e:-1.469
t:2.17, r:-10.00, omega:-11.47, omega_m:-10.00, u:-169.72, theta1:17.409, theta2:0.381, e:-1.469
t:2.18, r:-10.00, omega:-11.22, omega_m:-10.00, u:-169.80, theta1:17.409, theta2:0.382, e:-1.222
t:2.19, r:-10.00, omega:-11.22, omega_m:-10.00, u:-169.79, theta1:17.408, theta2:0.382, e:-1.222
t:2.20, r:-10.00, omega:-11.22, omega_m:-10.00, u:-169.77, theta1:17.407, theta2:0.383, e:-1.222
t:2.21, r:-10.00, omega:-11.22, omega_m:-10.00, u:-169.75, theta1:17.406, theta2:0.384, e:-1.222
t:2.22, r:-10.00, omega:-11.22, omega_m:-10.00, u:-169.74, theta1:17.405, theta2:0.384, e:-1.222
t:2.23, r:-10.00, omega:-10.86, omega_m:-10.00, u:-169.87, theta1:17.405, theta2:0.385, e:-0.858
t:2.24, r:-10.00, omega:-10.86, omega_m:-10.00, u:-169.86, theta1:17.404, theta2:0.385, e:-0.858
