t,v_ref,w_ref,v,w,u_L,u_R,omega_L,omega_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
21765512,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
21775709,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
21785903,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
21826747,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
21837100,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
21847318,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
21857529,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
21898390,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
21908747,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
21919066,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
21929282,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
21970119,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
21980320,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
21990547,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
22000735,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
22041841,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
22052195,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
22062419,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
22072694,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
22103302,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
22113525,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
22123877,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
22134106,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
22175020,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
22185457,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
22195683,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
22205874,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
22246829,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
22257188,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
22267449,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
