t:3.41, r:2.41, y:0.00, ym:2.37, u:5.55, theta1:2.30, theta2:0.00
t:3.43, r:2.43, y:0.00, ym:2.39, u:5.74, theta1:2.36, theta2:0.00
t:3.45, r:2.45, y:0.00, ym:2.41, u:5.93, theta1:2.42, theta2:0.00
t:3.47, r:2.47, y:0.00, ym:2.43, u:6.12, theta1:2.48, theta2:0.00
t:3.49, r:2.49, y:0.00, ym:2.45, u:6.33, theta1:2.54, theta2:0.00
t:3.51, r:2.51, y:0.00, ym:2.47, u:6.53, theta1:2.60, theta2:0.00
t:3.53, r:2.53, y:0.00, ym:2.49, u:6.74, theta1:2.67, theta2:0.00
t:3.55, r:2.55, y:0.00, ym:2.51, u:6.96, theta1:2.73, theta2:0.00
t:3.57, r:2.57, y:0.00, ym:2.53, u:7.18, theta1:2.79, theta2:0.00
t:3.59, r:2.59, y:0.00, ym:2.55, u:7.41, theta1:2.86, theta2:0.00
t:3.61, r:2.61, y:0.00, ym:2.57, u:7.64, theta1:2.93, theta2:0.00
t:3.63, r:2.63, y:0.00, ym:2.59, u:7.88, theta1:3.00, theta2:0.00
t:3.65, r:2.65, y:0.00, ym:2.61, u:8.12, theta1:3.06, theta2:0.00
t:3.67, r:2.67, y:0.00, ym:2.63, u:8.37, theta1:3.14, theta2:0.00
t:3.69, r:2.69, y:0.00, ym:2.65, u:8.63, theta1:3.21, theta2:0.00
t:3.71, r:2.71, y:0.00, ym:2.67, u:8.89, theta1:3.28, theta2:0.00
t:3.73, r:2.73, y:0.00, ym:2.69, u:9.15, theta1:3.35, theta2:0.00
t:3.75, r:2.75, y:0.00, ym:2.71, u:9.42, theta1:3.43, theta2:0.00
t:3.77, r:2.77, y:0.00, ym:2.73, u:9.70, theta1:3.50, theta2:0.00
t:3.79, r:2.79, y:0.00, ym:2.75, u:9.99, theta1:3.58, theta2:0.00
t:3.81, r:2.81, y:0.00, ym:2.77, u:10.28, theta1:3.66, theta2:0.00
t:3.83, r:2.83, y:0.00, ym:2.79, u:10.57, theta1:3.74, theta2:0.00
t:3.85, r:2.85, y:0.00, ym:2.81, u:10.88, theta1:3.82, theta2:0.00
t:3.87, r:2.87, y:0.00, ym:2.83, u:11.18, theta1:3.90, theta2:0.00
t:3.89, r:2.89, y:0.00, ym:2.85, u:11.50, theta1:3.98, theta2:0.00
t:3.91, r:2.91, y:0.00, ym:2.87, u:11.82, theta1:4.06, theta2:0.00
t:3.93, r:2.93, y:0.00, ym:2.89, u:12.15, theta1:4.15, theta2:0.00
t:3.95, r:2.95, y:0.00, ym:2.91, u:12.49, theta1:4.23, theta2:0.00
t:3.97, r:2.97, y:0.00, ym:2.93, u:12.83, theta1:4.32, theta2:0.00
t:3.99, r:2.99, y:0.00, ym:2.95, u:13.18, theta1:4.41, theta2:0.00
t:4.01, r:3.01, y:0.00, ym:2.97, u:13.54, theta1:4.50, theta2:0.00
t:4.03, r:3.03, y:0.00, ym:2.99, u:13.90, theta1:4.59, theta2:0.00
t:4.05, r:3.05, y:0.00, ym:3.01, u:14.27, theta1:4.68, theta2:0.00
t:4.07, r:3.07, y:0.00, ym:3.03, u:14.65, theta1:4.77, theta2:0.00
t:4.09, r:3.09, y:0.00, ym:3.05, u:15.04, theta1:4.87, theta2:0.00
t:4.11, r:3.11, y:0.00, ym:3.07, u:15.43, theta1:4.96, theta2:0.00
t:4.13, r:3.13, y:0.00, ym:3.09, u:15.84, theta1:5.06, theta2:0.00
t:4.15, r:3.15, y:0.00, ym:3.11, u:16.25, theta1:5.16, theta2:0.00
t:4.17, r:3.17, y:0.00, ym:3.13, u:16.66, theta1:5.26, theta2:0.00
t:4.19, r:3.19, y:0.00, ym:3.15, u:17.09, theta1:5.36, theta2:0.00
t:4.21, r:3.21, y:0.00, ym:3.17, u:17.52, theta1:5.46, theta2:0.00
t:4.23, r:3.23, y:0.00, ym:3.19, u:17.97, theta1:5.56, theta2:0.00
t:4.25, r:3.25, y:0.00, ym:3.21, u:18.42, theta1:5.67, theta2:0.00
t:4.27, r:3.27, y:0.00, ym:3.23, u:18.87, theta1:5.77, theta2:0.00
t:4.29, r:3.29, y:0.00, ym:3.25, u:19.34, theta1:5.88, theta2:0.00
t:4.31, r:3.31, y:0.00, ym:3.27, u:19.82, theta1:5.99, theta2:0.00
t:4.33, r:3.33, y:0.00, ym:3.29, u:20.30, theta1:6.10, theta2:0.00
t:4.35, r:3.35, y:0.00, ym:3.31, u:20.79, theta1:6.21, theta2:0.00
t:4.37, r:3.37, y:0.00, ym:3.33, u:21.30, theta1:6.32, theta2:0.00
t:4.39, r:3.39, y:0.00, ym:3.35, u:21.81, theta1:6.43, theta2:0.00
t:4.41, r:3.41, y:0.00, ym:3.37, u:22.33, theta1:6.55, theta2:0.00
t:4.43, r:3.43, y:0.00, ym:3.39, u:22.86, theta1:6.66, theta2:0.00
t:4.45, r:3.45, y:0.00, ym:3.41, u:23.40, theta1:6.78, theta2:0.00
t:4.47, r:3.47, y:0.00, ym:3.43, u:23.95, theta1:6.90, theta2:0.00
t:4.49, r:3.49, y:0.00, ym:3.45, u:24.50, theta1:7.02, theta2:0.00
t:4.51, r:3.51, y:0.00, ym:3.47, u:25.07, theta1:7.14, theta2:0.00
t:4.53, r:3.53, y:0.00, ym:3.49, u:25.65, theta1:7.27, theta2:0.00
t:4.55, r:3.55, y:0.00, ym:3.51, u:26.24, theta1:7.39, theta2:0.00
t:4.57, r:3.57, y:0.00, ym:3.53, u:26.84, theta1:7.52, theta2:0.00
t:4.59, r:3.59, y:0.00, ym:3.55, u:27.44, theta1:7.64, theta2:0.00
t:4.61, r:3.61, y:0.00, ym:3.57, u:28.06, theta1:7.77, theta2:0.00
t:4.63, r:3.63, y:0.00, ym:3.59, u:28.69, theta1:7.90, theta2:0.00
t:4.65, r:3.65, y:0.00, ym:3.61, u:29.33, theta1:8.04, theta2:0.00
t:4.67, r:3.67, y:0.00, ym:3.63, u:29.98, theta1:8.17, theta2:0.00
t:4.69, r:3.69, y:0.00, ym:3.65, u:30.64, theta1:8.30, theta2:0.00
t:4.71, r:3.71, y:0.00, ym:3.67, u:31.31, theta1:8.44, theta2:0.00
t:4.73, r:3.73, y:0.00, ym:3.69, u:31.99, theta1:8.58, theta2:0.00
t:4.75, r:3.75, y:0.00, ym:3.71, u:32.68, theta1:8.72, theta2:0.00
t:4.77, r:3.77, y:0.00, ym:3.73, u:33.39, theta1:8.86, theta2:0.00
t:4.79, r:3.79, y:0.00, ym:3.75, u:34.10, theta1:9.00, theta2:0.00
t:4.81, r:3.81, y:0.00, ym:3.77, u:34.83, theta1:9.14, theta2:0.00
t:4.83, r:3.83, y:0.00, ym:3.79, u:35.57, theta1:9.29, theta2:0.00
t:4.85, r:3.85, y:0.00, ym:3.81, u:36.32, theta1:9.43, theta2:0.00
t:4.87, r:3.87, y:0.00, ym:3.83, u:37.08, theta1:9.58, theta2:0.00
t:4.89, r:3.89, y:0.00, ym:3.85, u:37.86, theta1:9.73, theta2:0.00
t:4.91, r:3.91, y:0.00, ym:3.87, u:38.64, theta1:9.88, theta2:0.00
t:4.93, r:3.93, y:0.00, ym:3.89, u:39.44, theta1:10.04, theta2:0.00
t:4.95, r:3.95, y:0.00, ym:3.91, u:40.25, theta1:10.19, theta2:0.00
t:4.97, r:3.97, y:0.00, ym:3.93, u:41.08, theta1:10.35, theta2:0.00
t:4.99, r:3.99, y:0.00, ym:3.95, u:41.91, theta1:10.50, theta2:0.00
t:5.01, r:4.01, y:0.00, ym:3.97, u:42.76, theta1:10.66, theta2:0.00
t:5.03, r:4.03, y:0.10, ym:3.99, u:43.60, theta1:10.82, theta2:-0.00
t:5.05, r:4.05, y:0.10, ym:4.01, u:44.46, theta1:10.98, theta2:-0.01
t:5.07, r:4.07, y:0.10, ym:4.03, u:45.33, theta1:11.14, theta2:-0.01
t:5.09, r:4.09, y:0.10, ym:4.05, u:46.21, theta1:11.30, theta2:-0.02
t:5.11, r:4.11, y:0.10, ym:4.07, u:47.11, theta1:11.46, theta2:-0.02
t:5.13, r:4.13, y:0.10, ym:4.09, u:48.02, theta1:11.63, theta2:-0.02
t:5.15, r:4.15, y:4.43, ym:4.11, u:48.24, theta1:11.61, theta2:-0.01
t:5.17, r:4.17, y:4.43, ym:4.13, u:48.36, theta1:11.60, theta2:0.00
t:5.19, r:4.19, y:4.43, ym:4.15, u:48.49, theta1:11.59, theta2:0.02
t:5.21, r:4.21, y:4.43, ym:4.17, u:48.62, theta1:11.58, theta2:0.03
t:5.23, r:4.23, y:6.25, ym:4.19, u:47.63, theta1:11.49, theta2:0.16
t:5.25, r:4.25, y:6.25, ym:4.21, u:46.70, theta1:11.40, theta2:0.28
t:5.27, r:4.27, y:6.25, ym:4.23, u:45.77, theta1:11.32, theta2:0.41
t:5.29, r:4.29, y:6.25, ym:4.25, u:44.85, theta1:11.23, theta2:0.53
t:5.31, r:4.31, y:6.59, ym:4.27, u:43.45, theta1:11.13, theta2:0.69
t:5.33, r:4.33, y:6.59, ym:4.29, u:42.24, theta1:11.03, theta2:0.84
t:5.35, r:4.35, y:6.59, ym:4.31, u:41.04, theta1:10.93, theta2:0.99
t:5.37, r:4.37, y:6.59, ym:4.33, u:39.85, theta1:10.83, theta2:1.14
t:5.39, r:4.39, y:6.59, ym:4.35, u:38.66, theta1:10.74, theta2:1.29
t:5.41, r:4.41, y:5.56, ym:4.37, u:39.60, theta1:10.68, theta2:1.35
t:5.43, r:4.43, y:5.56, ym:4.39, u:39.22, theta1:10.63, theta2:1.42
t:5.45, r:4.45, y:5.56, ym:4.41, u:38.85, theta1:10.58, theta2:1.48
t:5.47, r:4.47, y:5.56, ym:4.43, u:38.48, theta1:10.53, theta2:1.54
t:5.49, r:4.49, y:5.56, ym:4.45, u:38.12, theta1:10.48, theta2:1.61
t:5.51, r:4.51, y:5.56, ym:4.47, u:37.77, theta1:10.43, theta2:1.67
t:5.53, r:4.53, y:4.14, ym:4.49, u:40.47, theta1:10.45, theta2:1.65
t:5.55, r:4.55, y:4.14, ym:4.51, u:40.82, theta1:10.46, theta2:1.64
t:5.57, r:4.57, y:4.14, ym:4.53, u:41.17, theta1:10.48, theta2:1.62
t:5.59, r:4.59, y:4.14, ym:4.55, u:41.54, theta1:10.50, theta2:1.60
t:5.61, r:4.61, y:4.14, ym:4.57, u:41.91, theta1:10.52, theta2:1.59
t:5.63, r:4.63, y:4.14, ym:4.59, u:42.29, theta1:10.54, theta2:1.57
t:5.65, r:4.65, y:4.53, ym:4.61, u:41.93, theta1:10.54, theta2:1.56
t:5.67, r:4.67, y:4.53, ym:4.63, u:42.18, theta1:10.55, theta2:1.56
t:5.69, r:4.69, y:4.53, ym:4.65, u:42.44, theta1:10.55, theta2:1.56
t:5.71, r:4.71, y:4.53, ym:4.67, u:42.71, theta1:10.56, theta2:1.55
t:5.73, r:4.73, y:4.53, ym:4.69, u:42.99, theta1:10.57, theta2:1.54
t:5.75, r:4.75, y:4.98, ym:4.71, u:42.38, theta1:10.55, theta2:1.56
t:5.77, r:4.77, y:4.98, ym:4.73, u:42.47, theta1:10.54, theta2:1.57
t:5.79, r:4.79, y:4.98, ym:4.75, u:42.57, theta1:10.53, theta2:1.58
t:5.81, r:4.81, y:4.98, ym:4.77, u:42.68, theta1:10.52, theta2:1.59
t:5.83, r:4.83, y:4.98, ym:4.79, u:42.79, theta1:10.51, theta2:1.60
t:5.85, r:4.85, y:4.99, ym:4.81, u:42.90, theta1:10.50, theta2:1.61
t:5.87, r:4.87, y:4.99, ym:4.83, u:43.03, theta1:10.49, theta2:1.62
t:5.89, r:4.89, y:4.99, ym:4.85, u:43.18, theta1:10.49, theta2:1.62
t:5.91, r:4.91, y:4.99, ym:4.87, u:43.33, theta1:10.48, theta2:1.63
t:5.93, r:4.93, y:4.99, ym:4.89, u:43.49, theta1:10.48, theta2:1.64
t:5.95, r:4.95, y:5.24, ym:4.91, u:43.10, theta1:10.46, theta2:1.65
